2024-08-06 10:35:31 DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@6ea94d6a
2024-08-06 10:35:31 DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@6ea94d6a
2024-08-06 10:35:31 DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@6e78fcf5
2024-08-06 10:35:31 DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@56febdc
2024-08-06 10:35:31 DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@3b8ee898
2024-08-06 10:35:31 DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@7d151a
2024-08-06 10:35:31 DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@294bdeb4
2024-08-06 10:35:31 DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@5300f14a
2024-08-06 10:35:31 DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@1f86099a
2024-08-06 10:35:31 DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@77bb0ab5
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2024-08-06 10:35:31 DEBUG org.hibernate.id.factory.internal.DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
2024-08-06 10:35:31 WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2024-08-06 10:35:31 INFO  org.hibernate.orm.connections.pooling - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/employee_management]
2024-08-06 10:35:31 INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {user=root}
2024-08-06 10:35:31 INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false
2024-08-06 10:35:31 DEBUG org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl - Initializing Connection pool with 1 Connections
2024-08-06 10:35:31 INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1)
2024-08-06 10:35:32 DEBUG org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 5.5.5-10.4.32-MariaDB
      major : 5
      minor : 5
2024-08-06 10:35:32 DEBUG org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-j-8.3.0 (Revision: 805f872a57875f311cb82487efcfb070411a3fa0)
      major : 8
      minor : 3
2024-08-06 10:35:32 DEBUG org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator - JDBC version : 4.2
2024-08-06 10:35:32 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2024-08-06 10:35:32 DEBUG org.hibernate.engine.jdbc.env.spi.IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
2024-08-06 10:35:32 DEBUG org.hibernate.engine.jdbc.env.spi.IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [LOWER]; that will likely lead to problems in schema update and validation if using quoted identifiers
2024-08-06 10:35:32 DEBUG org.hibernate.boot.model.relational.Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2024-08-06 10:35:32 DEBUG org.hibernate.type.spi.TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@5f9b6ae7] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@108d55c4]
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.AnnotationBinder - Binding entity from annotated class: com.employeemanagement.model.Department
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.annotations.EntityBinder - Import with entity name Department
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.annotations.EntityBinder - Bind entity com.employeemanagement.model.Department on table department
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(department), mappingColumn=id, insertable=true, updatable=true, unique=false}
2024-08-06 10:35:32 DEBUG org.hibernate.boot.internal.ClassLoaderAccessImpl - Not known whether passed class name [com.employeemanagement.model.Department] is safe
2024-08-06 10:35:32 DEBUG org.hibernate.boot.internal.ClassLoaderAccessImpl - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : com.employeemanagement.model.Department
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.annotations.PropertyBinder - MetadataSourceProcessor property departmentId with lazy=false
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.employeemanagement.model.Department:departmentId]
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.annotations.SimpleValueBinder - building SimpleValue for departmentId
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.annotations.PropertyBinder - Building property departmentId
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), departmentId, identity, , ...)
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(department), mappingColumn=name, insertable=true, updatable=true, unique=false}
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.annotations.PropertyBinder - MetadataSourceProcessor property departmentName with lazy=false
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.employeemanagement.model.Department:departmentName]
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.annotations.SimpleValueBinder - building SimpleValue for departmentName
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.annotations.PropertyBinder - Building property departmentName
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='department'}
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(department), mappingColumn=employees, insertable=true, updatable=true, unique=false}
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(department), mappingColumn=null, insertable=true, updatable=true, unique=false}
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(department), mappingColumn=element, insertable=true, updatable=true, unique=false}
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(department), mappingColumn=employees_KEY, insertable=true, updatable=true, unique=false}
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='employees_KEY', referencedColumn='null', mappedBy='null'}
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='department'}
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.Ejb3Column - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='department'}
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.annotations.CollectionBinder - Collection role: com.employeemanagement.model.Department.employees
2024-08-06 10:35:32 DEBUG org.hibernate.cfg.annotations.PropertyBinder - Building property employees
